11/20/2021 6:54:09 PM | Crossroads
11/19/2021 1:49:26 PM | Crossroad S2
11/18/2021 8:29:41 PM | Crossroads
11/18/2021 12:22:18 PM | Crossroads
11/17/2021 6:49:29 PM | Golden Bear
11/17/2021 1:11:45 PM | Crossroads
11/16/2021 6:18:05 PM | Clark Kerr
11/16/2021 2:15:57 PM | Crossroads
11/15/2021 6:50:43 PM | Crossroads
11/15/2021 11:02:19 AM | Crossroads
11/14/2021 8:11:19 PM | Cafe 3
11/13/2021 6:54:31 PM | Crossroads
11/12/2021 8:25:52 PM | Crossroads
11/12/2021 1:35:32 PM | Crossroads
11/11/2021 6:23:30 PM | Cafe 3
11/11/2021 2:38:09 PM | Crossroads
11/9/2021 7:31:52 PM | Golden Bear
11/9/2021 12:07:16 PM | Crossroads
11/8/2021 5:30:26 PM | Golden Bear
11/7/2021 4:49:26 PM | Cafe 3
11/6/2021 7:54:41 PM | Crossroads
11/5/2021 1:00:17 PM | Golden Bear
11/4/2021 7:21:10 PM | Cafe 3
11/4/2021 1:26:11 PM | Crossroads
11/3/2021 5:54:42 PM | Crossroads
11/2/2021 8:46:00 PM | Crossroads
11/2/2021 1:22:31 PM | Crossroads
11/1/2021 6:48:10 PM | Crossroads
11/1/2021 12:30:52 PM | Crossroads
10/31/2021 5:46:55 PM | Crossroads
10/30/2021 6:55:36 PM | Crossroads
10/29/2021 6:11:22 PM | Crossroads
10/28/2021 7:37:08 PM | Golden Bear
10/28/2021 1:16:10 PM | Crossroads
10/27/2021 5:44:15 PM | Crossroads
10/26/2021 7:20:58 PM | Crossroads
10/26/2021 2:00:09 PM | Crossroads
10/25/2021 8:47:08 PM | Crossroads
10/25/2021 1:38:56 PM | Cafe 3
10/24/2021 6:55:24 PM | Crossroads
10/24/2021 3:03:35 PM | Crossroads
10/22/2021 8:20:38 PM | Crossroads
10/22/2021 1:35:18 PM | Crossroads
10/21/2021 8:16:56 PM | Crossroads
10/21/2021 12:18:26 PM | Crossroads
10/20/2021 7:18:41 PM | Crossroads
10/20/2021 11:35:02 AM | Crossroads
10/19/2021 6:34:17 PM | Crossroads
10/19/2021 11:21:58 AM | Crossroads
10/18/2021 8:11:30 PM | Crossroads
10/18/2021 1:50:14 PM | Crossroads
10/14/2021 7:43:38 PM | Crossroads
10/14/2021 11:46:02 AM | Crossroads
10/13/2021 11:44:06 AM | Crossroads
10/13/2021 6:51:52 PM | Crossroads
10/12/2021 6:44:25 PM | Crossroads
10/12/2021 12:46:06 PM | Crossroads
10/11/2021 7:18:22 PM | Crossroads
10/10/2021 6:41:02 PM | Crossroads
10/9/2021 7:25:39 PM | Crossroads
10/8/2021 7:09:39 PM | Crossroads
10/8/2021 11:31:08 AM | Crossroads
10/7/2021 7:55:39 PM | Clark Kerr
10/7/2021 11:38:41 AM | Crossroads
10/6/2021 6:49:16 PM | Crossroads
10/6/2021 11:28:19 AM | Crossroads
10/5/2021 7:11:57 PM | Crossroads
10/5/2021 11:42:00 AM | Crossroad S2
10/4/2021 7:21:37 PM | Crossroads
10/4/2021 1:12:22 PM | Crossroads
10/3/2021 5:12:11 PM | Crossroads
10/1/2021 7:48:50 PM | Crossroads
10/1/2021 12:23:10 PM | Crossroads
9/30/2021 6:45:48 PM | Crossroads
9/30/2021 11:27:46 AM | Crossroads
9/29/2021 7:23:18 PM | Crossroads
9/29/2021 11:35:23 AM | Crossroads
9/28/2021 7:45:52 PM | Cafe 3
9/28/2021 12:53:48 PM | Crossroads
9/27/2021 7:22:56 PM | Crossroads
9/27/2021 11:41:18 AM | Crossroads
9/26/2021 6:31:52 PM | Clark Kerr
9/26/2021 12:31:40 PM | Cafe 3
9/25/2021 7:10:09 PM | Clark Kerr
9/24/2021 6:33:32 PM | Crossroads
9/24/2021 11:24:04 AM | Crossroads
9/23/2021 6:16:19 PM | Cafe 3
9/23/2021 11:35:20 AM | Crossroads
9/22/2021 6:57:47 PM | Cafe 3
9/22/2021 11:22:59 AM | Crossroad S2
9/21/2021 6:12:14 PM | Clark Kerr
9/21/2021 11:30:50 AM | Crossroads
9/20/2021 5:13:42 PM | Crossroads
9/19/2021 11:58:44 AM | Cafe 3
9/17/2021 6:11:38 PM | Crossroads
9/17/2021 2:06:02 PM | Cafe 3
9/16/2021 7:13:42 PM | Crossroads
9/16/2021 11:34:51 AM | Crossroads
9/15/2021 7:25:52 PM | Crossroads
9/15/2021 1:06:22 PM | Crossroads
9/14/2021 6:08:15 PM | Cafe 3
9/14/2021 11:37:23 AM | Crossroads
9/13/2021 6:19:29 PM | Crossroads
9/13/2021 11:29:23 AM | Crossroads
9/12/2021 11:16:29 AM | Crossroads
9/12/2021 8:22:27 PM | Crossroads
9/11/2021 6:47:57 PM | Crossroads
9/11/2021 12:18:34 PM | Cafe 3
9/10/2021 5:22:43 PM | Crossroads
9/9/2021 6:30:57 PM | Cafe 3
9/9/2021 11:32:07 AM | Crossroads
9/8/2021 7:05:14 PM | Crossroads
9/8/2021 11:14:14 AM | Crossroads
9/7/2021 6:18:56 PM | Crossroads
9/7/2021 11:18:43 AM | Crossroad S2
9/6/2021 8:24:49 PM | Crossroads
9/5/2021 5:57:03 PM | Crossroads
9/5/2021 2:29:20 PM | Cafe 3
9/3/2021 5:55:26 PM | Clark Kerr
9/3/2021 11:25:53 AM | Cafe 3
9/2/2021 8:34:44 PM | Cafe 3
9/2/2021 11:22:32 AM | Crossroads
9/1/2021 6:56:30 PM | Crossroads
9/1/2021 11:30:02 AM | Crossroads
8/31/2021 7:40:48 PM | Cafe 3
8/31/2021 11:15:27 AM | Crossroads
8/30/2021 7:44:43 PM | Crossroads
8/30/2021 11:17:06 AM | Crossroads
8/29/2021 7:57:19 PM | Crossroads
8/29/2021 12:47:31 PM | Crossroads
8/28/2021 7:40:45 PM | Cafe 3
8/28/2021 1:41:35 PM | Cafe 3
8/27/2021 11:32:56 AM | Crossroad S2
8/26/2021 1:50:40 PM | Crossroad S2
8/25/2021 8:05:23 PM | Crossroads
8/25/2021 12:55:30 PM | Crossroads
8/24/2021 6:30:15 PM | Foothill
8/24/2021 12:14:50 PM | Cafe 3
8/23/2021 5:57:12 PM | Crossroad S2
8/23/2021 2:15:01 PM | Crossroads
